,comp,due,user_arrival,user_rejected_all_servers_out,user_expired,user_server_assigned,user_lock_for_resources,user_unlock_for_resources,user_interrupted,user_rejected_not_enough_time,user_completed
0,6,17,1.0,"1.0,3.0,4.0,6.0,8.0,11.0,12.0,14.0,15.0,18.0",18.0,,,,,,
1,5,96,78.0,"78.0,80.0,82.0,83.0,85.0,87.0,90.0,93.0,95.0,96.0",96.0,,,,,,
2,9,206,190.0,"190.0,193.0,195.0,196.0,199.0,200.0",206.0,"201.0,204.0","201.0,204.0","201.0,204.0",202.0,206.0,
3,8,263,249.0,,,249.0,249.0,249.0,,,"257.0,257.0"
4,9,269,249.0,,,249.0,249.0,249.0,,,"258.0,258.0"
5,6,268,250.0,,,250.0,250.0,250.0,,,"256.0,256.0"
6,1,261,250.0,,,"250.0,253.0","250.0,253.0","250.0,253.0",251.0,,"254.0,254.0"
7,7,269,250.0,,,250.0,250.0,250.0,,,"257.0,257.0"
8,7,267,251.0,,,251.0,251.0,251.0,,,"258.0,258.0"
9,4,268,251.0,,,251.0,251.0,251.0,,,"255.0,255.0"
10,1,272,252.0,,,252.0,252.0,252.0,,,"253.0,253.0"
11,3,264,252.0,,,252.0,252.0,252.0,,,"255.0,255.0"
12,8,268,252.0,"252.0,255.0,257.0,260.0,262.0,265.0,268.0",268.0,,,,,,
13,1,271,252.0,"252.0,255.0,258.0,259.0,261.0,262.0,264.0,267.0,269.0,272.0",272.0,,,,,,
14,5,269,252.0,,,252.0,252.0,252.0,,,"257.0,257.0"
15,1,269,252.0,,,252.0,252.0,252.0,,,"253.0,253.0"
16,10,263,253.0,"253.0,255.0,258.0,259.0,261.0,264.0",264.0,,,,,,
17,8,266,253.0,"253.0,255.0,256.0,259.0,262.0,265.0,268.0",268.0,,,,,,
18,8,267,253.0,,,253.0,253.0,253.0,,,"261.0,261.0"
19,5,267,254.0,,,254.0,254.0,254.0,,,"259.0,259.0"
20,3,270,255.0,,,255.0,255.0,255.0,,,"258.0,258.0"
21,6,275,255.0,,,255.0,255.0,255.0,,,"261.0,261.0"
22,4,267,256.0,,,256.0,256.0,256.0,,,"260.0,260.0"
23,7,275,258.0,,,258.0,258.0,258.0,,,"265.0,265.0"
24,7,277,258.0,,,258.0,258.0,258.0,,,"265.0,265.0"
25,6,270,258.0,,,258.0,258.0,258.0,,,"264.0,264.0"
26,5,272,258.0,,,258.0,258.0,258.0,,,"263.0,263.0"
27,7,276,259.0,,,259.0,259.0,259.0,,,"266.0,266.0"
28,5,273,260.0,,,260.0,260.0,260.0,,,"265.0,265.0"
29,5,277,260.0,,,260.0,260.0,260.0,,,"265.0,265.0"
30,1,274,262.0,,,262.0,262.0,262.0,,,"263.0,263.0"
31,4,278,262.0,,,262.0,262.0,262.0,,,"266.0,266.0"
32,9,276,262.0,,,262.0,262.0,262.0,,,"271.0,271.0"
33,3,279,262.0,,,262.0,262.0,262.0,,,"265.0,265.0"
34,3,279,263.0,"263.0,264.0,267.0,270.0,272.0,275.0,278.0,281.0",281.0,,,,,,
