,time,on/off,cpu,mem,hdd
35,0,0,0,0.0,0
71,1,0,0,0.0,0
107,2,0,0,0.0,0
143,3,0,0,0.0,0
179,4,0,0,0.0,0
215,5,0,0,0.0,0
251,6,0,0,0.0,0
287,7,0,0,0.0,0
323,8,0,0,0.0,0
359,9,0,0,0.0,0
395,10,0,0,0.0,0
431,11,0,0,0.0,0
467,12,0,0,0.0,0
503,13,0,0,0.0,0
539,14,0,0,0.0,0
575,15,0,0,0.0,0
611,16,0,0,0.0,0
647,17,0,0,0.0,0
683,18,0,0,0.0,0
719,19,0,0,0.0,0
755,20,0,0,0.0,0
791,21,0,0,0.0,0
827,22,0,0,0.0,0
863,23,0,0,0.0,0
899,24,0,0,0.0,0
935,25,0,0,0.0,0
971,26,0,0,0.0,0
1007,27,0,0,0.0,0
1043,28,0,0,0.0,0
1079,29,0,0,0.0,0
1115,30,0,0,0.0,0
1151,31,0,0,0.0,0
1187,32,0,0,0.0,0
1223,33,0,0,0.0,0
1259,34,0,0,0.0,0
1295,35,0,0,0.0,0
1331,36,0,0,0.0,0
1367,37,0,0,0.0,0
1403,38,0,0,0.0,0
1439,39,0,0,0.0,0
1475,40,0,0,0.0,0
1511,41,0,0,0.0,0
1547,42,0,0,0.0,0
1583,43,0,0,0.0,0
1619,44,0,0,0.0,0
1655,45,0,0,0.0,0
1691,46,0,0,0.0,0
1727,47,0,0,0.0,0
1763,48,0,0,0.0,0
1799,49,0,0,0.0,0
1835,50,0,0,0.0,0
1871,51,0,0,0.0,0
1907,52,0,0,0.0,0
1943,53,0,0,0.0,0
1979,54,0,0,0.0,0
2015,55,0,0,0.0,0
2051,56,0,0,0.0,0
2087,57,0,0,0.0,0
2123,58,0,0,0.0,0
2159,59,0,0,0.0,0
2195,60,0,0,0.0,0
2231,61,0,0,0.0,0
2267,62,0,0,0.0,0
2303,63,0,0,0.0,0
2339,64,0,0,0.0,0
2375,65,0,0,0.0,0
2411,66,0,0,0.0,0
2447,67,0,0,0.0,0
2483,68,0,0,0.0,0
2519,69,0,0,0.0,0
2555,70,0,0,0.0,0
2591,71,0,0,0.0,0
2627,72,0,0,0.0,0
2663,73,0,0,0.0,0
2699,74,0,0,0.0,0
2735,75,0,0,0.0,0
2771,76,0,0,0.0,0
2807,77,0,0,0.0,0
2843,78,0,0,0.0,0
2879,79,0,0,0.0,0
2915,80,0,0,0.0,0
2951,81,0,0,0.0,0
2987,82,0,0,0.0,0
3023,83,0,0,0.0,0
3059,84,0,0,0.0,0
3095,85,0,0,0.0,0
3131,86,0,0,0.0,0
3167,87,0,0,0.0,0
3203,88,0,0,0.0,0
3239,89,0,0,0.0,0
3275,90,0,0,0.0,0
3311,91,0,0,0.0,0
3347,92,0,0,0.0,0
3383,93,0,0,0.0,0
3419,94,0,0,0.0,0
3455,95,0,0,0.0,0
3491,96,0,0,0.0,0
3527,97,0,0,0.0,0
3563,98,0,0,0.0,0
3599,99,0,0,0.0,0
3635,100,0,0,0.0,0
3671,101,0,0,0.0,0
3707,102,0,0,0.0,0
3743,103,0,0,0.0,0
3779,104,0,0,0.0,0
3815,105,0,0,0.0,0
3851,106,0,0,0.0,0
3887,107,0,0,0.0,0
3923,108,0,0,0.0,0
3959,109,0,0,0.0,0
3995,110,0,0,0.0,0
4031,111,0,0,0.0,0
4067,112,0,0,0.0,0
4103,113,0,0,0.0,0
4139,114,0,0,0.0,0
4175,115,0,0,0.0,0
4211,116,0,0,0.0,0
4247,117,0,0,0.0,0
4283,118,0,0,0.0,0
4319,119,0,0,0.0,0
4355,120,0,0,0.0,0
4391,121,0,0,0.0,0
4427,122,0,0,0.0,0
4463,123,0,0,0.0,0
4499,124,0,0,0.0,0
4535,125,0,0,0.0,0
4571,126,0,0,0.0,0
4607,127,0,0,0.0,0
4643,128,0,0,0.0,0
4679,129,0,0,0.0,0
4715,130,0,0,0.0,0
4751,131,0,0,0.0,0
4787,132,0,0,0.0,0
4823,133,0,0,0.0,0
4859,134,0,0,0.0,0
4895,135,0,0,0.0,0
4931,136,0,0,0.0,0
4967,137,0,0,0.0,0
5003,138,0,0,0.0,0
5039,139,0,0,0.0,0
5075,140,0,0,0.0,0
5111,141,0,0,0.0,0
5147,142,0,0,0.0,0
5183,143,0,0,0.0,0
5219,144,0,0,0.0,0
5255,145,0,0,0.0,0
5291,146,0,0,0.0,0
5327,147,0,0,0.0,0
5363,148,0,0,0.0,0
5399,149,0,0,0.0,0
5435,150,0,0,0.0,0
5471,151,0,0,0.0,0
5507,152,0,0,0.0,0
5543,153,0,0,0.0,0
5579,154,0,0,0.0,0
5615,155,0,0,0.0,0
5651,156,0,0,0.0,0
5687,157,0,0,0.0,0
5723,158,0,0,0.0,0
5759,159,0,0,0.0,0
5795,160,0,0,0.0,0
5831,161,0,0,0.0,0
5867,162,0,0,0.0,0
5903,163,0,0,0.0,0
5939,164,0,0,0.0,0
5975,165,0,0,0.0,0
6011,166,0,0,0.0,0
6047,167,0,0,0.0,0
6083,168,0,0,0.0,0
6119,169,0,0,0.0,0
6155,170,0,0,0.0,0
6191,171,0,0,0.0,0
6227,172,0,0,0.0,0
6263,173,0,0,0.0,0
6299,174,0,0,0.0,0
6335,175,0,0,0.0,0
6371,176,0,0,0.0,0
6407,177,0,0,0.0,0
6443,178,0,0,0.0,0
6479,179,0,0,0.0,0
6515,180,0,0,0.0,0
6551,181,0,0,0.0,0
6587,182,0,0,0.0,0
6623,183,0,0,0.0,0
6659,184,0,0,0.0,0
6695,185,0,0,0.0,0
6731,186,0,0,0.0,0
6767,187,0,0,0.0,0
6803,188,0,0,0.0,0
6839,189,0,0,0.0,0
6875,190,0,0,0.0,0
6911,191,0,0,0.0,0
6947,192,0,0,0.0,0
6983,193,0,0,0.0,0
7019,194,0,0,0.0,0
7055,195,0,0,0.0,0
7091,196,0,0,0.0,0
7127,197,0,0,0.0,0
7163,198,0,0,0.0,0
7199,199,0,0,0.0,0
7235,200,0,0,0.0,0
7271,201,0,0,0.0,0
7307,202,0,0,0.0,0
7343,203,0,0,0.0,0
7379,204,0,0,0.0,0
7415,205,0,0,0.0,0
7451,206,0,0,0.0,0
7487,207,0,0,0.0,0
7523,208,0,0,0.0,0
7559,209,0,0,0.0,0
7595,210,0,0,0.0,0
7631,211,0,0,0.0,0
7667,212,0,0,0.0,0
7703,213,0,0,0.0,0
7739,214,0,0,0.0,0
7775,215,0,0,0.0,0
7811,216,0,0,0.0,0
7847,217,0,0,0.0,0
7883,218,0,0,0.0,0
7919,219,0,0,0.0,0
7955,220,0,0,0.0,0
7991,221,0,0,0.0,0
8027,222,0,0,0.0,0
8063,223,0,0,0.0,0
8099,224,0,0,0.0,0
8135,225,0,0,0.0,0
8171,226,0,0,0.0,0
8207,227,0,0,0.0,0
8243,228,0,0,0.0,0
8279,229,0,0,0.0,0
8315,230,0,0,0.0,0
8351,231,0,0,0.0,0
8387,232,0,0,0.0,0
8423,233,0,0,0.0,0
8459,234,0,0,0.0,0
8495,235,0,0,0.0,0
8531,236,0,0,0.0,0
8567,237,0,0,0.0,0
8603,238,0,0,0.0,0
8639,239,0,0,0.0,0
8675,240,0,0,0.0,0
8711,241,0,0,0.0,0
8747,242,0,0,0.0,0
8783,243,0,0,0.0,0
8819,244,0,0,0.0,0
8855,245,0,0,0.0,0
8891,246,0,0,0.0,0
8927,247,0,0,0.0,0
8963,248,0,0,0.0,0
8999,249,0,0,0.0,0
9035,250,0,0,0.0,0
9071,251,0,0,0.0,0
9107,252,0,0,0.0,0
9143,253,0,0,0.0,0
9179,254,0,0,0.0,0
9215,255,0,0,0.0,0
9251,256,0,0,0.0,0
9287,257,0,0,0.0,0
9323,258,0,0,0.0,0
9359,259,0,0,0.0,0
9395,260,0,0,0.0,0
9431,261,0,0,0.0,0
9467,262,0,0,0.0,0
9503,263,0,0,0.0,0
9539,264,0,0,0.0,0
9575,265,0,0,0.0,0
9611,266,0,0,0.0,0
9647,267,0,0,0.0,0
9683,268,0,0,0.0,0
9719,269,0,0,0.0,0
9755,270,0,0,0.0,0
9791,271,0,0,0.0,0
9827,272,0,0,0.0,0
9863,273,0,0,0.0,0
9899,274,0,0,0.0,0
9935,275,0,0,0.0,0
9971,276,0,0,0.0,0
10007,277,0,0,0.0,0
10043,278,0,0,0.0,0
10079,279,0,0,0.0,0
10115,280,0,0,0.0,0
10151,281,0,0,0.0,0
10187,282,0,0,0.0,0
10223,283,0,0,0.0,0
10259,284,0,0,0.0,0
10295,285,0,0,0.0,0
10331,286,0,0,0.0,0
10367,287,0,0,0.0,0
10403,288,0,0,0.0,0
10439,289,0,0,0.0,0
10475,290,0,0,0.0,0
10511,291,0,0,0.0,0
10547,292,0,0,0.0,0
10583,293,0,0,0.0,0
10619,294,0,0,0.0,0
10655,295,0,0,0.0,0
10691,296,0,0,0.0,0
10727,297,0,0,0.0,0
10763,298,0,0,0.0,0
10799,299,0,0,0.0,0
10835,300,0,0,0.0,0
10871,301,0,0,0.0,0
10907,302,0,0,0.0,0
10943,303,0,0,0.0,0
10979,304,0,0,0.0,0
11015,305,0,0,0.0,0
11051,306,0,0,0.0,0
11087,307,0,0,0.0,0
11123,308,0,0,0.0,0
11159,309,0,0,0.0,0
11195,310,0,0,0.0,0
11231,311,0,0,0.0,0
11267,312,0,0,0.0,0
11303,313,0,0,0.0,0
11339,314,0,0,0.0,0
11375,315,0,0,0.0,0
11411,316,0,0,0.0,0
11447,317,0,0,0.0,0
11483,318,0,0,0.0,0
11519,319,0,0,0.0,0
11555,320,0,0,0.0,0
11591,321,0,0,0.0,0
11627,322,0,0,0.0,0
11663,323,0,0,0.0,0
11699,324,0,0,0.0,0
11735,325,0,0,0.0,0
11771,326,0,0,0.0,0
11807,327,0,0,0.0,0
11843,328,0,0,0.0,0
11879,329,0,0,0.0,0
11915,330,0,0,0.0,0
11951,331,0,0,0.0,0
11987,332,0,0,0.0,0
12023,333,0,0,0.0,0
12059,334,0,0,0.0,0
12095,335,0,0,0.0,0
12131,336,0,0,0.0,0
12167,337,0,0,0.0,0
12203,338,0,0,0.0,0
12239,339,0,0,0.0,0
12275,340,0,0,0.0,0
12311,341,0,0,0.0,0
12347,342,0,0,0.0,0
12383,343,0,0,0.0,0
12419,344,0,0,0.0,0
12455,345,0,0,0.0,0
12491,346,0,0,0.0,0
